1	Wesley Snipes	446	6	5.7
2	Julia Roberts	339	4	4.8
3	Steve Martin	328	5	5.8
4	Kevin Costner	325	4	1.0
5	Whoopi Goldberg	311	4	1.8
6	Robin Williams	307	4	3.5
7	Denzel Washington	290	4	3.8
8	Tom Hanks	275	3	1.0
9	Sylvester Stallone	273	4	1.0
10	Tom Cruise	273	3	1.0
11	Harrison Ford	256	3	1.0
12	Bruce Willis	256	5	4.8
13	Jean-Claude Van Damme	241	5	1.0
14	Clint Eastwood	233	3	1.3
15	Demi Moore	226	3	5.0
16	Nicole Kidman	225	4	6.0
17	Charlie Sheen	223	3	8.3
18	Jodie Foster	221	3	3.7
19	Mel Gibson	211	3	3.7
20	Goldie Hawn	208	3	4.7
21	Kurt Russell	204	3	4.3
22	Michael Douglas	202	3	8.0
23	Al Pacino	195	4	2.0
24	Michelle Pfeiffer	195	3	6.0
25	Meg Ryan	194	3	6.0
26	Woody Harrelson	180	2	2.5
27	Daniel Day-Lewis	178	3	0.3
28	Macaulay Culkin	178	2	1.0
29	Emilio Estevez	178	5	6.6
30	Nick Nolte	174	2	2.0
31	Arnold Schwarzenegger	173	2	1.0
32	Charles Grodin	169	3	4.3
33	Bill Murray	168	2	5.0
34	Mike Myers	168	3	10.0
35	Anjelica Huston	166	2	1.5
36	Raul Julia	166	2	1.5
37	Christopher Lloyd	166	2	3.0
38	Robert Redford	166	2	5.5
39	Dana Carvey	166	2	10.0
40	Sally Field	164	2	1.5
41	Geena Davis	164	2	2.0
42	Danny DeVito	162	2	2.0
43	Sharon Stone	162	3	4.0
44	Dustin Hoffman	159	3	7.0
45	Steven Seagal	157	2	1.0
46	Sigourney Weaver	157	2	4.5
47	Eddie Murphy	150	2	0.0
48	Bridget Fonda	150	3	1.0
49	Anthony Hopkins	150	2	1.5
50	Kevin Kline	149	2	1.5
51	Jack Nicholson	147	2	1.5
52	Annabella Sciorra	145	2	1.5
53	Keanu Reeves	139	2	1.0
54	Michael J. Fox	131	3	7.0
55	Richard Gere	131	2	10.0
56	Bob Hoskins	123	2	2.5
57	Ethan Hawke	121	2	1.0
58	Robert De Niro	108	2	1.0
59	Meryl Streep	107	2	1.5
60	Bill Pullman	105	2	4.5
61	Bette Midler	101	2	1.0
62	Dan Aykroyd	100	2	5.5
63	Joe Pesci	99	1	2.0
64	Daniel Stern	99	1	3.0
65	Lisa Jakob	99	1	6.0
66	Michael Keaton	98	1	1.0
67	Mary Elizabeth Mastrantonio	98	1	5.0
68	Patrick Swayze	97	2	5.5
69	Danny Glover	97	1	12.0
70	Jack Lemmon	95	2	1.5
71	Whitney Houston	94	1	2.0
72	Alec Baldwin	93	3	1.7
73	Liam Neeson	92	1	1.0
74	Kimberly Williams-Paisley	92	1	3.0
75	Gary Oldman	91	2	3.0
76	Madonna	91	1	3.0
77	Kathy Bates	90	1	1.0
